ServerName,ServerVersion,EASInternalURL,EASExternalURL,OABInternalURL,OABExernalURL,OWAInternalURL,OWAExernalURL,ECPInternalURL,ECPExernalURL,AutoDiscName,AutoDiscURI,EWSInternalURL,EWSExernalURL,OutlookAnywhere-InternalHostName(NoneForE2010),OutlookAnywhere-ExternalHostNAme(E2010+)
TBS-MB-03,Version 15.0 (Build 1395.4),https://mail.tbs-sct.gc.ca/Microsoft-Server-ActiveSync,,https://mail.tbs-sct.gc.ca/OAB,,https://mail.tbs-sct.gc.ca/owa,,https://mail.tbs-sct.gc.ca/ecp,,,https://mail.tbs-sct.gc.ca/autodiscover/autodiscover.xml,https://mail.tbs-sct.gc.ca/EWS/Exchange.asmx,,mail.tbs-sct.gc.ca,mail.tbs-sct.gc.ca
TBS-MB-04,Version 15.0 (Build 1395.4),https://mail.tbs-sct.gc.ca/Microsoft-Server-ActiveSync,,https://mail.tbs-sct.gc.ca/OAB,,https://mail.tbs-sct.gc.ca/OWA,,https://mail.tbs-sct.gc.ca/ecp,,,https://mail.tbs-sct.gc.ca/autodiscover/autodiscover.xml,https://mail.tbs-sct.gc.ca/EWS/Exchange.asmx,,mail.tbs-sct.gc.ca,mail.tbs-sct.gc.ca
TBS-MB-02,Version 15.0 (Build 1395.4),https://mail.tbs-sct.gc.ca/Microsoft-Server-ActiveSync,,https://mail.tbs-sct.gc.ca/OAB,,https://mail.tbs-sct.gc.ca/OWA,,https://mail.tbs-sct.gc.ca/ECP,,,https://mail.tbs-sct.gc.ca/autodiscover/autodiscover.xml,https://mail.tbs-sct.gc.ca/EWS/Exchange.asmx,,mail.tbs-sct.gc.ca,mail.tbs-sct.gc.ca
TBS-MB-01,Version 15.0 (Build 1395.4),https://mail.tbs-sct.gc.ca/Microsoft-Server-ActiveSync,,https://mail.tbs-sct.gc.ca/OAB,,https://mail.tbs-sct.gc.ca/OWA,,https://mail.tbs-sct.gc.ca/ECP,,,https://mail.tbs-sct.gc.ca/autodiscover/autodiscover.xml,https://mail.tbs-sct.gc.ca/EWS/Exchange.asmx,,mail.tbs-sct.gc.ca,mail.tbs-sct.gc.ca
