ServerName,ServerVersion,EASInternalURL,EASExternalURL,OABInternalURL,OABExernalURL,OWAInternalURL,OWAExernalURL,ECPInternalURL,ECPExernalURL,AutoDiscName,AutoDiscURI,EWSInternalURL,EWSExernalURL,OutlookAnywhere-InternalHostName(NoneForE2010),OutlookAnywhere-ExternalHostNAme(E2010+)
E2010,Version 14.3 (Build 123.4),https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/oab,,https://mail.canada.ca/owa,,https://mail.canada.ca/ecp,,E2010,https://mail.canada.ca/Autodiscover/Autodiscover.xml,https://mail.canada.ca/ews/Exchange.asmx,,,
E2016-01,Version 15.1 (Build 1531.3),https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/oab,,https://mail.canada.ca/owa,,https://mail.canada.ca/ecp,,E2016-01,https://mail.canada.ca/Autodiscover/Autodiscover.xml,https://mail.canada.ca/ews/Exchange.asmx,,mail.canada.ca,mail.canada.ca
E2016-02,Version 15.1 (Build 1531.3),https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/Microsoft-Server-ActiveSync,https://mail.canada.ca/oab,,https://mail.canada.ca/owa,,https://mail.canada.ca/ecp,,E2016-02,https://mail.canada.ca/Autodiscover/Autodiscover.xml,https://mail.canada.ca/ews/Exchange.asmx,,mail.canada.ca,mail.canada.ca
