ServerName,ServerVersion,EASInternalURL,EASExternalURL,OABInternalURL,OABExernalURL,OWAInternalURL,OWAExernalURL,ECPInternalURL,ECPExernalURL,AutoDiscURI,EWSInternalURL,EWSExernalURL,OutlookAnywhere-InternalHostName(NoneForE2010),OutlookAnywhere-ExternalHostNAme(E2010+)
MLEM1865,Version 14.3 Build 12345,,,https://mlcas.hrdc-drhc.net/OAB,,https://mlcas.hrdc-drhc.net/owa,https://mlcas.hrdc-drhc.net/owa,https://mlcas.hrdc-drhc.net/ecp,https://mlcas.hrdc-drhc.net/ecp,https://mlcas.hrdc-drhc.net/autodiscover/autodiscover.xml,https://mlcas.hrdc-drhc.net/EWS/Exchange.asmx,,,mlcas.hrdc-drhc.net
MLEM1866,Version 14.3 Build 12345,https://mlem1866.hrdc-drhc.net/Microsoft-Server-ActiveSync,,https://mlcas.hrdc-drhc.net/OAB,,https://mlcas.hrdc-drhc.net/owa,https://mlcas.hrdc-drhc.net/owa,https://mlcas.hrdc-drhc.net/ecp,https://mlcas.hrdc-drhc.net/ecp,https://mlcas.hrdc-drhc.net/autodiscover/autodiscover.xml,https://mlcas.hrdc-drhc.net/EWS/Exchange.asmx,,,mlcas.hrdc-drhc.net
